,Epoch,MAP
0,1.0,0.1553527551042598
2,3.0,0.28141386366956905
4,5.0,0.4082039129001888
6,7.0,0.5246887754770581
8,9.0,0.5767925557298019
10,11.0,0.6728222771181416
12,13.0,0.6855462926595223
14,15.0,0.7180754468107963
16,17.0,0.7293195967558764
18,19.0,0.7426020313267132
20,21.0,0.7570181587382067
22,23.0,0.7901544836506008
24,25.0,0.8077701508760234
26,27.0,0.8291422830478237
28,29.0,0.8330712378347787
30,31.0,0.839039941845757
32,33.0,0.833139991338799
34,35.0,0.8390184231232638
36,37.0,0.8371463175348945
38,39.0,0.834401302348679
40,41.0,0.8385878452336079
42,43.0,0.842769090071405
44,45.0,0.8416495922987814
46,47.0,0.8438223878868424
48,49.0,0.8446596889808912
50,51.0,0.8408836441258429
52,53.0,0.8420496929799804
54,55.0,0.845437863203632
56,57.0,0.8473166774636868
58,59.0,0.8464931055888028
60,61.0,0.8467279766434314
62,63.0,0.8496298867884061
64,65.0,0.8452503298336236
66,67.0,0.8456199618948931
68,69.0,0.8480056104146857
70,71.0,0.8480509370910775
72,73.0,0.846025370971697
74,75.0,0.8469540776055379
76,77.0,0.85022462775619
78,79.0,0.8461797142311362
80,81.0,0.8486177371329298
82,83.0,0.8479460282825917
84,85.0,0.8482150006236221
86,87.0,0.8490178967265423
88,89.0,0.8505962114462909
90,91.0,0.8493235154087201
92,93.0,0.8500821704028712
94,95.0,0.8481759143871233
96,97.0,0.8462709966851556
98,99.0,0.8526848074873539
99,100.0,0.848754301444593
